구역,주소,상가매출,상권매출,거주인구,1인가구,같은 상권내 카페 개수,같은 상권내 베이커리 개수,주변 전철역 이름,주변 전철역 이용인구수,주변 학교 개수,주변 관광지유무,주변 빌딩 개수,파리바게트 최단거리,뚜레쥬르 최단거리,던킨도넛 최단거리,더벤티 최단거리,메가커피 최단거리,빽다방 최단거리,컴포즈 최단거리,이디야 최단거리,투썸플레이스 최단거리
A-1,인천광역시 연수구 아카데미로 119,52000,52000,2122,28.3,3,0,0,0,2,0,0,1300,2000,1900,820,0,1100,520,520,1250
A-2,인천광역시 연수구 컨벤시아대로391번길 20,10000,62000,0,28.3,4,0,0,0,0,0,0,1750,2350,2600,1470,360,1700,770,780,2000
A-3,인천광역시 연수구 하모니로 271,21000,74000,2122,36,7,0,0,0,2,0,0,1200,1700,2200,1340,430,1000,0,0,1300
A-4,인천광역시 연수구 아카데미로51번길 42,300,22000,52,32.8,4,0,0,0,0,0,3,1230,1500,2500,1760,700,1000,360,350,1050
A-5,인천광역시 연수구 벤처로24번길 26,400,180000,8889,28.3,5,0,0,0,2,0,6,1020,1380,1550,750,740,746,670,710,960
A-6,인천광역시 연수구 벤처로 10,92000,140000,11984,28.3,2,0,0,0,1,0,6,670,1200,1300,640,580,540,500,500,720
A-7,인천광역시 연수구 하모니로 224,2200,40000,5086,28.3,2,0,0,0,0,0,8,740,1500,1600,1000,640,620,600,500,1130
A-8,인천광역시 연수구 하모니로 230,1200,56000,3037,28.3,3,0,0,0,2,0,6,820,1500,1760,1050,670,724,412,440,1260
A-9,인천광역시 연수구 컨벤시아대로 233,6600,720000,14098,24.6,18,4,인천대입구,14271,1,0,13,625,1050,1040,708,350,306,290,346,600
A-10,인천광역시 연수구 하모니로178번길 22,22000,810000,8766,24.6,22,6,인천대입구,14271,1,0,14,700,1500,1150,936,280,270,180,127,730
A-11,인천광역시 연수구 하모니로178번길 19,800,900000,9016,28.3,22,6,0,0,0,0,15,740,1270,1170,875,330,290,240,206,800
A-12,인천광역시 연수구 하모니로178번길 6,43000,800000,7911,28.3,20,6,0,0,0,0,14,600,1400,1200,1000,316,274,230,130,810
A-13,인천광역시 연수구 하모니로178번길 11,6300,890000,8439,28.3,20,6,0,0,0,0,15,660,1500,1250,950,375,330,280,200,850
A-14,인천광역시 연수구 하모니로188번길 8,300,580000,7422,28.3,14,3,0,0,0,0,16,650,1500,1300,970,430,380,330,250,890
A-15,인천광역시 연수구 하모니로 184,18000,490000,7441,28.3,14,3,0,0,0,0,14,600,1420,1300,1020,450,420,350,255,920
A-16,인천광역시 연수구 하모니로188번길 17,19000,580000,9866,28.3,13,3,0,0,0,0,14,750,1300,1300,850,430,380,380,280,850
A-17,인천광역시 연수구 인천타워대로 99,43000,580000,7531,28.3,17,5,0,0,0,0,15,490,1300,1400,1140,430,410,340,240,900
A-18,인천광역시 연수구 벤처로 63,1100,80000,4309,36,3,0,0,0,0,0,9,540,1260,1640,1220,450,430,400,300,1250
A-19,인천광역시 연수구 하모니로177번길 49,17000,180000,8362,36,3,0,지식정보단지,8128,1,0,8,270,990,1680,1430,174,155,114,0,1100
A-20,인천광역시 연수구 벤처로100번길 26,300,300,1170,32.8,0,0,0,0,0,0,10,720,1050,2140,1680,630,630,550,550,790
B-1,인천광역시 연수구 인천타워대로132번길 9,48000,900000,10201,24.6,25,6,인천대입구,14271,2,0,13,840,1110,870,860,180,150,200,300,510
B-2,인천광역시 연수구 하모니로 158,6000,460000,8928,24.6,10,6,인천대입구,14271,2,0,14,630,1380,1140,1030,240,170,120,0,720
B-3,인천광역시 연수구 하모니로138번길 11,190000,990000,8947,24.6,27,6,인천대입구,14271,2,0,5,720,1500,900,1360,0,60,100,190,490
B-4,인천광역시 연수구 하모니로 144,79000,990000,6903,24.6,27,6,인천대입구,14271,2,0,5,650,1300,1010,1110,100,130,120,120,580
B-5,인천광역시 연수구 인천타워대로132번길 24,14000,1180000,6459,24.6,25,7,인천대입구,14271,2,0,4,800,1500,860,1100,90,120,180,90,400
B-6,인천광역시 연수구 테크노파크로111번길 12,9800,1180000,6669,24.6,25,7,인천대입구,14271,2,0,4,810,1520,850,1020,80,110,180,80,380
B-7,인천광역시 연수구 인천타워대로132번길 30,29000,1170000,7064,24.6,24,7,인천대입구,14271,2,0,4,880,1460,940,960,140,170,240,140,440
B-8,인천광역시 연수구 테크노파크로111번길 10,0,1180000,6392,24.6,23,7,인천대입구,14271,2,0,4,800,1520,1010,1100,90,120,110,100,400
B-9,인천광역시 연수구 테크노파크로111번길 8,3900,1180000,7064,24.6,23,7,인천대입구,14271,2,0,4,790,1490,930,970,100,130,120,110,410
B-10,인천광역시 연수구 인천타워대로132번길 34,4000,1320000,6776,24.6,25,7,인천대입구,14271,2,0,7,810,1450,930,950,130,160,230,160,450
B-11,인천광역시 연수구 테크노파크로 113,21000,1320000,6978,24.6,25,7,인천대입구,14271,2,0,7,870,1460,990,1010,140,220,240,140,440
B-12,인천광역시 연수구 테크노파크로 107,0,750000,7262,24.6,22,6,0,0,2,0,4,900,1520,1000,1200,170,250,210,100,500
B-13,인천광역시 연수구 테크노파크로111번길 5,11000,1180000,7277,24.6,23,7,0,0,2,0,6,760,1480,830,1180,200,250,270,40,390
B-14,인천광역시 연수구 테크노파크로111번길 7,0,1180000,6689,24.6,23,7,0,0,2,0,6,740,1500,850,1160,220,230,300,70,410
B-15,인천광역시 연수구 하모니로 124,56000,1180000,7588,24.6,23,7,0,0,2,0,4,750,1420,860,1280,250,280,310,90,430
B-16,인천광역시 연수구 하모니로 128,40000,920000,6133,24.6,22,6,0,0,2,0,4,800,1400,380,1190,200,250,270,50,500
B-17,인천광역시 연수구 테크노파크로111번길 9,3400,1180000,6718,24.6,23,7,0,0,2,0,5,850,1450,960,1000,140,220,240,140,440
B-18,인천광역시 연수구 테크노파크로111번길 11,28000,1180000,6718,24.6,23,7,0,0,2,0,5,960,1420,1300,850,150,140,230,150,460
B-19,인천광역시 연수구 해송로 12,0,870000,7996,28.3,22,5,0,0,4,0,11,470,1230,1150,1280,300,310,270,230,700
B-20,인천광역시 연수구 해송로30번길 20,6300,580000,9158,36,18,6,0,0,4,0,10,510,1210,1200,1300,310,290,230,250,690
C-1,인천광역시 연수구 해송로30번길 19,6900,180000,9459,36,8,2,0,0,4,0,0,330,1020,1280,1460,340,360,480,480,830
C-2,인천광역시 연수구 해송로 70,12000,270000,19194,32.8,9,4,지식정보단지,8128,2,0,2,110,710,1640,1740,180,240,300,380,1010
C-3,인천광역시 연수구 신송로 122,160000,1910000,21681,26.6,43,11,0,0,1,0,6,110,1120,0,120,190,200,0,180,120
C-4,인천광역시 연수구 인천타워대로54번길 15-5,6800,190000,8878,32.8,10,2,지식정보단지,8128,3,0,2,110,910,1540,1530,50,50,150,190,1100
C-5,인천광역시 연수구 인천타워대로54번길 15-3,32000,190000,8878,32.8,10,2,지식정보단지,8128,3,0,2,100,900,1550,1520,50,50,150,190,1100
C-6,인천광역시 연수구 인천타워대로54번길 13,7200,190000,8886,32.8,10,2,지식정보단지,8128,3,0,2,80,870,1570,1570,40,50,140,200,1010
C-7,인천광역시 연수구 인천타워대로54번길 9,67000,190000,8878,32.8,10,2,지식정보단지,8128,2,0,2,120,890,1580,1530,0,0,110,160,1080
C-8,인천광역시 연수구 해송로30번길 34-18,4900,190000,8977,36,10,2,지식정보단지,8128,1,0,2,190,950,1580,1480,80,70,90,100,1090
C-9,인천광역시 연수구 인천타워대로 60,8300,180000,8977,36,9,2,지식정보단지,8128,1,0,2,170,920,1610,1510,60,50,70,110,1070
C-10,인천광역시 연수구 인천타워대로54번길 3,5400,190000,9581,32.8,10,2,지식정보단지,8128,1,0,2,160,900,1640,1540,60,60,50,110,1030
C-11,인천광역시 연수구 해송로 143,20000,190000,19076,32.8,9,2,지식정보단지,8128,2,0,2,0,760,1610,1670,160,160,230,320,1030
C-12,인천광역시 연수구 컨벤시아대로 177,260000,700000,9888,24.6,11,0,0,0,0,0,3,650,1060,520,800,370,400,400,290,130
C-13,인천광역시 연수구 컨벤시아대로 165,150000,850000,12134,24.6,17,2,0,0,0,0,2,520,1100,450,700,320,510,440,360,0
C-14,인천광역시 연수구 컨벤시아대로 153,120000,940000,12758,24.6,17,4,0,0,0,0,2,370,1040,390,580,210,360,330,480,140
C-15,인천광역시 연수구 센트럴로 123,49000,910000,10062,24.6,16,2,0,0,0,0,2,540,1250,590,810,440,490,530,270,160
C-16,인천광역시 연수구 갯벌로 12,66000,3520000,6151,32.8,7,2,테크노파크,20244,4,0,4,840,840,1630,1420,270,670,760,0,480
C-17,인천광역시 연수구 갯벌로 36,6200,790000,15250,24.8,18,5,테크노파크,20244,4,0,3,780,1030,1360,1260,420,750,780,200,560
C-18,인천광역시 연수구 신송로82번길 6,8600,27000,16505,28.8,3,0,0,0,3,0,0,450,1560,490,490,490,590,450,490,570
C-19,인천광역시 연수구 해돋이로 51,300,23000,13076,32.8,1,0,0,0,1,0,0,700,1390,930,820,790,890,660,600,910
C-20,인천광역시 연수구 해돋이로 107,170000,800000,16039,26.6,23,4,0,0,0,0,6,0,970,460,400,230,140,140,360,480
D-1,인천광역시 연수구 해돋이로 130,1500,1520000,22984,26.6,43,8,0,0,0,0,16,150,970,350,250,190,170,120,190,310
D-2,인천광역시 연수구 컨벤시아대로 81,210000,2120000,25785,26.6,52,11,0,0,0,0,16,150,970,190,120,100,0,150,100,130
D-3,인천광역시 연수구 컨벤시아대로 69,170000,210000,22106,26.6,21,11,0,0,0,0,16,120,1000,100,100,140,100,130,120,0
D-4,인천광역시 연수구 해돋이로120번길 23,97000,1660000,23626,26.6,44,9,0,0,1,0,16,120,1020,220,110,50,100,230,50,200
D-5,인천광역시 연수구 신송로125번길 13,92000,1470000,24173,26.6,35,8,0,0,1,0,13,60,1070,160,50,0,100,160,0,160
D-6,인천광역시 연수구 신송로125번길 7,88000,1560000,22487,26.6,38,7,0,0,1,0,13,0,1070,120,0,60,120,100,50,126
D-7,인천광역시 연수구 신송로 121,150000,1730000,22035,26.6,40,7,0,0,1,0,13,50,1090,60,50,100,150,50,100,100
D-8,인천광역시 연수구 해돋이로 118,5900,980000,19871,26.6,30,4,0,0,0,0,9,70,1080,460,330,270,270,0,270,430
D-9,인천광역시 연수구 하모니로36번길 19,3800,1060000,21041,26.6,32,5,0,0,0,0,9,90,1080,450,320,260,280,20,260,400
D-10,인천광역시 연수구 해돋이로 116,4600,980000,19081,26.6,30,4,0,0,0,0,9,60,1100,460,330,270,270,20,260,430
D-11,인천광역시 연수구 하모니로36번길 17,8700,990000,20599,26.6,30,5,0,0,0,0,9,90,1090,450,320,260,280,30,260,410
D-12,인천광역시 연수구 해돋이로 114,8800,910000,19624,26.6,28,4,0,0,0,0,9,60,1100,470,340,280,280,40,270,440
D-13,인천광역시 연수구 컨벤시아대로 55,20000,2180000,19131,24.8,50,12,0,0,0,0,13,180,1060,70,190,240,230,110,230,90
D-14,인천광역시 연수구 해돋이로 112,8200,750000,19874,26.6,21,3,0,0,0,0,9,110,1150,470,350,290,330,60,300,460
D-15,인천광역시 연수구 해돋이로 110,9800,750000,20685,26.6,21,3,0,0,0,0,9,120,1160,470,350,300,330,70,310,470
D-16,인천광역시 연수구 해돋이로 108,14000,540000,20497,26.6,16,3,0,0,0,0,9,120,1170,480,360,310,340,80,320,480
D-17,인천광역시 연수구 해돋이로 106,5800,540000,20046,26.6,16,3,0,0,0,0,9,150,1180,490,370,320,350,90,330,490
D-18,인천광역시 연수구 하모니로36번길 5,600,780000,16865,24.6,25,5,0,0,0,0,9,180,1180,480,360,330,370,120,330,470
D-19,인천광역시 연수구 해돋이로 104,13000,460000,20046,26.6,13,3,0,0,0,0,9,200,1200,490,370,340,380,130,340,480
D-20,인천광역시 연수구 하모니로36번길 3,6700,550000,20444,26.6,16,3,0,0,0,0,9,200,1200,490,370,340,380,130,340,480